Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2001","8448","London","Westminster","A4","PU","529610","180500","Pall Mall","Piccadilly Circus","0.18","62","138","788","103","178","38","4","1","0","0","0","43","1250"
"2001","16108","London","Westminster","A4","PU","530400","180700","Northumberland Ave","A301","0.43","231","318","3811","321","421","67","4","1","1","0","0","74","4945"
"2001","16142","London","Westminster","A302","PU","528600","179500","A3217","A4","0.37","82","201","8064","437","1003","170","21","17","17","9","6","239","9944"
"2001","16435","London","Westminster","A41","PU","527750","182000","A501","A41 Park Rd","0.31","22","73","1380","102","167","25","3","1","2","1","1","34","1755"
"2001","17015","London","Westminster","A404","PU","524000","182440","LA Boundary","A4207","0.68","72","192","3488","89","603","166","6","9","4","2","4","193","4565"
"2001","17567","London","Westminster","A3203","PU","530350","178960","A3212","LA Boundary","0.12","90","99","1043","35","68","138","89","5","1","1","0","234","1479"
"2001","17572","London","Westminster","A3212","PU","529800","178030","A3216","A202","0.99","406","1577","11266","173","2613","420","31","42","15","12","9","529","16159"
"2001","17574","London","Westminster","A3217","PU","528900","179330","A302","A3214","0.12","39","97","1648","124","255","34","7","3","1","1","1","47","2171"
"2001","17638","London","Westminster","A4201","PU","529100","181000","Piccadilly Circus","A40","0.55","208","464","3596","544","669","72","9","3","2","1","0","87","5360"
"2001","17639","London","Westminster","A4202","PU","528089","180542","A4 Hyde Park Corner","Marble Arch","0.86","164","1397","33500","1303","2513","931","61","29","11","17","19","1068","39782"
"2001","17641","London","Westminster","A501","PU","527370","181750","A5/A4209","Marylebone Rd","0.18","72","59","721","28","83","20","3","5","1","1","0","31","923"
"2001","17691","London","Westminster","A401","PU","529761","180893","Piccadilly Circus","A400","0.31","147","279","1337","112","369","93","7","1","1","0","0","103","2200"
"2001","17917","London","Westminster","A3214","PU","528970","179400","A3217","Buckingham Gate","0.18","107","114","1379","34","85","12","1","0","0","0","0","13","1624"
"2001","18169","London","Westminster","A5204","PU","528000","181174","A5","A41","0.24","75","83","740","0","21","65","47","1","0","0","0","113","956"
